        63       347
     43     44  -1.00000E+00
     43     46  -5.00000E-01
     43     47   0.00000E+00
     44     40   0.00000E+00
     44     41  -1.00000E+00
     44     43  -1.00000E+00
     44     44   4.00000E+00
     44     45  -1.00000E+00
     44     47  -1.00000E+00
     44     48   0.00000E+00
     45     41   0.00000E+00
     45     42  -5.00000E-01
     45     44  -1.00000E+00
     45     45   2.00000E+00
     45     48  -5.00000E-01
     46     43  -5.00000E-01
     46     46   2.00000E+00
     46     47  -1.00000E+00
     46     49  -5.00000E-01
     46     50   0.00000E+00
     47     43   0.00000E+00
     47     44  -1.00000E+00
     47     46  -1.00000E+00
     47     47   4.00000E+00
     47     48  -1.00000E+00
     47     50  -1.00000E+00
     47     51   0.00000E+00
     48     44   0.00000E+00
     48     45  -5.00000E-01
     48     47  -1.00000E+00
     48     48   2.00000E+00
     48     51  -5.00000E-01
     49     46  -5.00000E-01
     49     49   2.00000E+00
     49     50  -1.00000E+00
     49     52  -5.00000E-01
     49     53   0.00000E+00
     50     46   0.00000E+00
     50     47  -1.00000E+00
     50     49  -1.00000E+00
     50     50   4.00000E+00
     50     51  -1.00000E+00
     50     53  -1.00000E+00
     50     54   0.00000E+00
     51     47   0.00000E+00
     51     48  -5.00000E-01
     51     50  -1.00000E+00
     51     51   2.00000E+00
     51     54  -5.00000E-01
     52     49  -5.00000E-01
     52     52   2.00000E+00
     52     53  -1.00000E+00
     52     55  -5.00000E-01
     52     56   0.00000E+00
     53     49   0.00000E+00
     53     50  -1.00000E+00
     53     52  -1.00000E+00
     53     53   4.00000E+00
     53     54  -1.00000E+00
     53     56  -1.00000E+00
     53     57   0.00000E+00
     54     50   0.00000E+00
     54     51  -5.00000E-01
     54     53  -1.00000E+00
     54     54   2.00000E+00
     54     57  -5.00000E-01
     55     52  -5.00000E-01
     55     55   2.00000E+00
     55     56  -1.00000E+00
     55     58  -5.00000E-01
     55     59   0.00000E+00
     56     52   0.00000E+00
     56     53  -1.00000E+00
     56     55  -1.00000E+00
     56     56   4.00000E+00
     56     57  -1.00000E+00
     56     59  -1.00000E+00
     56     60   0.00000E+00
     57     53   0.00000E+00
     57     54  -5.00000E-01
     57     56  -1.00000E+00
     57     57   2.00000E+00
     57     60  -5.00000E-01
     58     55  -5.00000E-01
     58     58   2.00000E+00
     58     59  -1.00000E+00
     58     61   0.00000E+00
     58     62   0.00000E+00
     59     55   0.00000E+00
     59     56  -1.00000E+00
     59     58  -1.00000E+00
     59     59   4.00000E+00
     59     60  -1.00000E+00
     59     62   0.00000E+00
     59     63   0.00000E+00
     60     56   0.00000E+00
     60     57  -5.00000E-01
     60     59  -1.00000E+00
     60     60   2.00000E+00
     60     63   0.00000E+00
     61     58   0.00000E+00
     61     61   1.00000E+00
     61     62   0.00000E+00
     62     58   0.00000E+00
     62     59   0.00000E+00
     62     61   0.00000E+00
     62     62   1.00000E+00
     62     63   0.00000E+00
     63     59   0.00000E+00
     63     60   0.00000E+00
     63     62   0.00000E+00
     63     63   1.00000E+00
